"Country ID","Country","Pixel_total","Habitat","Cat","Pixel_count"
5,"Spratly Islands",346892,"ColdCorals","Total",2
5,"Spratly Islands",346892,"CoralReefs","Total",1908
5,"Spratly Islands",346892,"Ridges","Total",34229
5,"Spratly Islands",346892,"Seamounts_guyots","mpa_all",6
5,"Spratly Islands",346892,"Seamounts_guyots","Total",29939
5,"Spratly Islands",346892,"Seamounts_guyots","mpa_marine",6
5,"Spratly Islands",346892,"ShelfValley_Cany","Total",200
12,"Aruba",20363,"ColdCorals","Total",3
12,"Aruba",20363,"CoralReefs","Total",49
12,"Aruba",20363,"Ridges","Total",79
12,"Aruba",20363,"Seagrasses","Total",28
12,"Aruba",20363,"ShelfValley_Cany","Total",739
14,"Angola",1381287,"ColdCorals","Total",4
14,"Angola",1381287,"Estuaries","Total",923
14,"Angola",1381287,"Mangroves","Total",283
14,"Angola",1381287,"Ridges","Total",4223
14,"Angola",1381287,"Seagrasses","Total",464
14,"Angola",1381287,"Seamounts_guyots","Total",4933
14,"Angola",1381287,"ShelfValley_Cany","Total",13090
15,"Anguilla",76126,"ColdCorals","Total",3
15,"Anguilla",76126,"CoralReefs","Total",25
15,"Anguilla",76126,"CoralReefs","mpa_all",5
15,"Anguilla",76126,"CoralReefs","mpa_coastal",5
15,"Anguilla",76126,"Ridges","Total",1807
15,"Anguilla",76126,"Seagrasses","Total",8
15,"Anguilla",76126,"Seamounts_guyots","Total",366
15,"Anguilla",76126,"ShelfValley_Cany","Total",1165
15,"Anguilla",76126,"Trenches","Total",16765
16,"Albania",40895,"ColdCorals","Total",5
16,"Albania",40895,"Estuaries","mpa_coastal",8
16,"Albania",40895,"Estuaries","mpa_all_m",1
16,"Albania",40895,"Estuaries","Total",108
16,"Albania",40895,"Estuaries","mpa_coastal_m",1
16,"Albania",40895,"Estuaries","mpa_all",8
16,"Albania",40895,"Saltmarsh","Total",49
16,"Albania",40895,"Saltmarsh","mpa_all",32
16,"Albania",40895,"Saltmarsh","mpa_coastal",32
16,"Albania",40895,"Saltmarsh","mpa_coastal_m",5
16,"Albania",40895,"Saltmarsh","mpa_all_m",5
16,"Albania",40895,"Seagrasses","mpa_marine",1
16,"Albania",40895,"Seagrasses","mpa_all",1
16,"Albania",40895,"Seagrasses","Total",42
16,"Albania",40895,"ShelfValley_Cany","Total",406
18,"Netherlands Antilles",1832,"CoralReefs","mpa_all",10
18,"Netherlands Antilles",1832,"CoralReefs","Total",11
18,"Netherlands Antilles",1832,"CoralReefs","mpa_coastal",2
18,"Netherlands Antilles",1832,"CoralReefs","mpa_marine",8
18,"Netherlands Antilles",1832,"Seagrasses","mpa_coastal",1
18,"Netherlands Antilles",1832,"Seagrasses","Total",1
18,"Netherlands Antilles",1832,"Seagrasses","mpa_all",1
19,"United Arab Emirates",106748,"CoralReefs","mpa_marine",35
19,"United Arab Emirates",106748,"CoralReefs","mpa_coastal_nt",11
19,"United Arab Emirates",106748,"CoralReefs","Total",112
19,"United Arab Emirates",106748,"CoralReefs","mpa_all",46
19,"United Arab Emirates",106748,"CoralReefs","mpa_marine_nt",35
19,"United Arab Emirates",106748,"CoralReefs","mpa_coastal",11
19,"United Arab Emirates",106748,"CoralReefs","mpa_all_nt",46
19,"United Arab Emirates",106748,"Mangroves","Total",59
19,"United Arab Emirates",106748,"Mangroves","mpa_all",9
19,"United Arab Emirates",106748,"Mangroves","mpa_coastal_nt",9
19,"United Arab Emirates",106748,"Mangroves","mpa_all_nt",9
19,"United Arab Emirates",106748,"Mangroves","mpa_coastal",9
19,"United Arab Emirates",106748,"Saltmarsh","mpa_all",9
19,"United Arab Emirates",106748,"Saltmarsh","mpa_coastal",9
19,"United Arab Emirates",106748,"Saltmarsh","Total",38
19,"United Arab Emirates",106748,"Saltmarsh","mpa_all_nt",9
19,"United Arab Emirates",106748,"Saltmarsh","mpa_coastal_nt",9
19,"United Arab Emirates",106748,"Seagrasses","mpa_coastal",1535
19,"United Arab Emirates",106748,"Seagrasses","mpa_marine_nt",221
19,"United Arab Emirates",106748,"Seagrasses","mpa_all",1756
19,"United Arab Emirates",106748,"Seagrasses","mpa_coastal_nt",1535
19,"United Arab Emirates",106748,"Seagrasses","mpa_marine",221
19,"United Arab Emirates",106748,"Seagrasses","mpa_all_nt",1756
19,"United Arab Emirates",106748,"Seagrasses","Total",3879
19,"United Arab Emirates",106748,"ShelfValley_Cany","Total",309
20,"Argentina",3894974,"ColdCorals","mpa_all",7
20,"Argentina",3894974,"ColdCorals","mpa_marine",7
20,"Argentina",3894974,"ColdCorals","Total",62
20,"Argentina",3894974,"Estuaries","mpa_marine",34
20,"Argentina",3894974,"Estuaries","mpa_all",1653
20,"Argentina",3894974,"Estuaries","mpa_marine_m",5
20,"Argentina",3894974,"Estuaries","Total",6728
20,"Argentina",3894974,"Estuaries","mpa_all_m",5
20,"Argentina",3894974,"Estuaries","mpa_coastal",1619
20,"Argentina",3894974,"Kelp","mpa_coastal",57
20,"Argentina",3894974,"Kelp","mpa_marine",14
20,"Argentina",3894974,"Kelp","mpa_all",60
20,"Argentina",3894974,"Kelp","Total",118
20,"Argentina",3894974,"Ridges","Total",13032
20,"Argentina",3894974,"Ridges","mpa_marine",11387
20,"Argentina",3894974,"Ridges","mpa_all",11387
20,"Argentina",3894974,"Saltmarsh","mpa_all",794
20,"Argentina",3894974,"Saltmarsh","mpa_coastal",210
20,"Argentina",3894974,"Saltmarsh","mpa_marine",585
20,"Argentina",3894974,"Saltmarsh","Total",1171
20,"Argentina",3894974,"Seamounts_guyots","Total",2264
20,"Argentina",3894974,"Seamounts_guyots","mpa_marine",1967
20,"Argentina",3894974,"Seamounts_guyots","mpa_all",1967
20,"Argentina",3894974,"ShelfValley_Cany","mpa_coastal",39
20,"Argentina",3894974,"ShelfValley_Cany","mpa_all",6700
20,"Argentina",3894974,"ShelfValley_Cany","Total",58190
20,"Argentina",3894974,"ShelfValley_Cany","mpa_marine",6661
20,"Argentina",3894974,"Trenches","mpa_all",6087
20,"Argentina",3894974,"Trenches","Total",6122
20,"Argentina",3894974,"Trenches","mpa_marine",6087
22,"American Samoa",323505,"ColdCorals","Total",1
22,"American Samoa",323505,"CoralReefs","mpa_all_nt",1
22,"American Samoa",323505,"CoralReefs","mpa_coastal_m",4
22,"American Samoa",323505,"CoralReefs","Total",37
22,"American Samoa",323505,"CoralReefs","mpa_coastal_nt",1
22,"American Samoa",323505,"CoralReefs","mpa_all",9
22,"American Samoa",323505,"CoralReefs","mpa_coastal",4
22,"American Samoa",323505,"CoralReefs","mpa_marine_m",5
22,"American Samoa",323505,"CoralReefs","mpa_marine",5
22,"American Samoa",323505,"CoralReefs","mpa_all_m",9
22,"American Samoa",323505,"Ridges","mpa_marine",750
22,"American Samoa",323505,"Ridges","mpa_coastal",1
22,"American Samoa",323505,"Ridges","mpa_all",751
22,"American Samoa",323505,"Ridges","mpa_marine_m",750
22,"American Samoa",323505,"Ridges","Total",8582
22,"American Samoa",323505,"Ridges","mpa_all_m",751
22,"American Samoa",323505,"Ridges","mpa_coastal_m",1
22,"American Samoa",323505,"Seagrasses","Total",376
22,"American Samoa",323505,"Seagrasses","mpa_all",15
22,"American Samoa",323505,"Seagrasses","mpa_coastal_m",9
22,"American Samoa",323505,"Seagrasses","mpa_all_m",15
22,"American Samoa",323505,"Seagrasses","mpa_marine",6
22,"American Samoa",323505,"Seagrasses","mpa_coastal",9
22,"American Samoa",323505,"Seagrasses","mpa_marine_m",6
22,"American Samoa",323505,"Seagrasses","mpa_coastal_nt",1
22,"American Samoa",323505,"Seagrasses","mpa_all_nt",1
22,"American Samoa",323505,"Seamounts_guyots","mpa_marine_m",1948
22,"American Samoa",323505,"Seamounts_guyots","mpa_marine",1948
22,"American Samoa",323505,"Seamounts_guyots","Total",17408
22,"American Samoa",323505,"Seamounts_guyots","mpa_all",1948
22,"American Samoa",323505,"Seamounts_guyots","mpa_all_m",1948
22,"American Samoa",323505,"ShelfValley_Cany","mpa_marine",5
22,"American Samoa",323505,"ShelfValley_Cany","mpa_all_m",5
22,"American Samoa",323505,"ShelfValley_Cany","mpa_all",5
22,"American Samoa",323505,"ShelfValley_Cany","Total",221
22,"American Samoa",323505,"ShelfValley_Cany","mpa_marine_m",5
22,"American Samoa",323505,"Vents","Total",1
22,"American Samoa",323505,"Vents","mpa_all_m",1
22,"American Samoa",323505,"Vents","mpa_marine_m",1
22,"American Samoa",323505,"Vents","mpa_marine",1
22,"American Samoa",323505,"Vents","mpa_all",1
23,"Antarctica",82111078,"ColdCorals","mpa_coastal",93
23,"Antarctica",82111078,"ColdCorals","mpa_marine_nt",17
23,"Antarctica",82111078,"ColdCorals","mpa_marine_m",11
