country,eez_area,mpa,coral_reefs,estuaries,mangroves,seagrasses,kelp,saltmarsh,hydrothermal_vents,cold_coral,bridges,sills,rift_valleys,seamounts_guyots
Albania,11285.929,306.374929939614,0,103.561558952544,0,44.0192524655547,0,8,0,5,0,0,0,0
Algeria,128993.717,30.3626338261922,0,451.092990956497,0,40.4831994442909,15,2,0,3,0,0,0,0
American Samoa,404416.001,35173.4743702347,45.1590919494629,0.757215176501879,0,461.078757699529,0,2,1,2,0,0,0,21711.5175486656
Angola,489942.027,0,0,1175.53037223229,293.779046339649,592.857756696301,0,4,0,7,0,0,0,6216.18421283716
Anguilla,92168.545,33.180360696244,24.3337898254395,0,0.045283753588003,15.010388769054,0,0,0,10,2.00487232208252,0,0,440.165347726437
Antarctica,10308958.6,1868400.12246311,0,0,0,0,0,0,4,883,4.46729564666748,5141.41552734375,2630.396484375,49633.2782654914
Antigua & Barbuda,107841.141,279.522827416755,54.8946304321289,0,9.19733620027679,249.63550077321,0,1,0,3,0,0,0,124.495690245631
Argentina,1084826.787,74371.4787496522,0,6639.48921212982,0,0,286,20,0,117,52.4202079772949,224.997711181641,0,1617.6528705474
Aruba,25185.858,35.642597608749,66.5257415771484,0,0.985695607152376,33.0869284952328,0,0,0,3,0,0,0,0
Australia,7410398.319,3096750.85434078,31911.03515625,15748.1421262843,9460.2127926267,41008.703415504,31144,0,0,924,0,11660.6318359375,0,104069.825033043
Bahrain,7645.213,0,207.822372436523,0,0.84560400571465,535.746377620353,0,4,0,0,0,0,0,0
Bangladesh,85518.919,9200.20716465512,4.53097438812256,45930.6339762794,4396.50779873266,0,0,0,0,0,0,0,0,0
Barbados,183900.096,297.545081829833,31.2227001190186,0.968138650577867,0.347165168036058,89.6294967554805,0,0,0,12,0,34.0541648864746,0,0
Belgium,3455.399,1340.23151732336,0,16.2787097796941,0,0,7,0,0,0,0,0,0,0
Belize,36050.775,6555.27687670663,873.585021972656,1983.94539005631,566.150857794268,4901.30498973803,0,0,0,7,0,75.7876663208008,0,0
Benin,30038.192,0,0,5.18091414613221,40.6974765247891,1355.05783131165,0,0,0,1,0,0,0,0
Bermuda,450396.674,0.726793946606337,528.915283203125,0,0.100882262436028,0,0,0,0,53,0,0,0,7368.50625736575
"Bonaire, Sint-Eustasius, Saba",22631.53,2720.09013816921,185.360961914063,0,2.18550083563432,3.22341042525155,0,0,0,71,0,0,0,0
Bosnia & Herzegovina,17.63,19.850170088488,0,13.1262565312518,0,0,0,2,0,0,0,0,0,0
Bouvet I.,441169.427,0,0,0,0,0,0,0,0,0,0,0,6905.02587890625,14551.4259189357
Brazil,3655546.599,1061014.47690904,697.508483886719,66877.9211767442,10519.2199951758,426.482944723584,89,6,0,483,0,17.2090110778809,7730.8046875,136761.358825402
British Indian Ocean Territory,638544.215,636962.344341028,1810.07373046875,0,0,0,0,0,1,0,27.0235862731934,472.69970703125,2662.36254882812,15269.9510391871
Brunei,25603.758,121.031090952003,62.7360954284668,17.0189829579445,108.692436419548,0,0,0,0,0,0,0,0,669.574863566358
Bulgaria,35236.061,5084.57901247266,0,9.72896687821566,0,0,0,1,0,0,0,0,0,0
Cambodia,48005.063,861.881580673837,45.7324562072754,368.632090666274,472.429498500346,0,0,0,0,0,0,0,0,0
Cameroon,14422.802,2625.4045817221,0,2732.65902701114,2133.36864266737,0,0,0,0,0,0,0,0,0
Canada,5749925.137,370672.775376444,0,47332.069758205,0,338.110614939767,9402,25,17,388,0,3601.75415039062,3071.09497070312,17457.8515767745
Cape Verde,796629.907,17.6489430826274,0,0,0,0,0,0,0,63,0,0,0,9500.92283249963
Cayman Is.,119175.362,109.336187822553,136.703460693359,0,75.4701984776477,44.9843881926751,0,0,4,2,26.5176486968994,0,1150.77075195313,5453.20143571713
Chile,3660327.986,1093763.17540808,0,12492.6724085266,0,0,1175,11,10,187,296.386077880859,166.222671508789,5468.265625,118653.093026677
China,882063.691,8084.16385812469,378.170837402344,18586.537387261,178.724401790396,7584.03561798967,43,0,0,1,0,0,0,173.032666064374
Christmas I.,328017.493,7.86770021926152,5.0344123840332,0,0,158.467421788195,0,0,0,0,0,0,0,58284.699007878
Clipperton Island,431283.632,1811.38389786247,4.30318689346314,0,0,0,0,0,0,0,0,0,2026.19580078125,17328.6826090725
Cocos Is.,467246.137,26.0191193734997,115.152793884277,0,0,215.1809447319,0,0,0,0,0,0,0,29614.8650969284
Colombia,727826.195,99713.9383380435,934.885803222656,6426.08359178946,2120.73315939192,430.84889893854,0,0,0,142,284.526611328125,0,2825.71313476562,5659.12225812317
Comoros,164599.449,3866.71777157079,218.976989746094,0,1.08074245778958,1265.14982974318,0,0,0,0,0,0,0,0
Congo,39572.29,9344.69892952722,0,7.31655053146101,0,0,0,0,0,0,0,0,0,0
"Congo, DRC",13797.144,746.796090478251,0,293.605867703613,223.765189426339,0,0,0,0,0,0,0,0,0
Cook Is.,1960139.894,1957594.2982511,253.267913818359,0,0,0,0,1,0,7,0,0,0,102077.097862073
Costa Rica,572260.305,6686.585735431,69.9038925170899,646.631282135444,387.877075582164,0,0,2,2,17,7.5839991569519,0,39.6868591308594,17259.8735236916
Cote d'Ivoire,174572.996,253.691327530321,0,1091.77767148834,42.8570420341542,0,0,0,0,15,0,0,0,850.249633130715
Croatia,56238.809,8052.97163809078,0,198.881481612836,0,299.617378836629,3,0,0,139,0,0,0,0
Cuba,365966.849,32026.6193723886,2665.62084960937,9.44549598545731,4261.41073955768,13879.2051624999,0,3,0,183,9.25368595123291,115.656997680664,0,3698.91300444946
Curacao,30386.36,35.4044655446423,38.673225402832,0,0.763110568818213,0,0,0,0,10,0,0,0,0
Cyprus,98220.46,244.370888348276,0,1.01816853475534,0,69.877911387613,0,0,0,4,0,0,0,0
Denmark,103200.805,20922.8365520595,0,3521.38385114025,0,1181.68596918065,3098,0,0,4,0,4.97864007949829,0,0
Djibouti,7013.337,0,244.170715332031,0,5.48121446211301,0,0,1,1,0,0,0,481.101623535156,0
Dominica,28582.581,38.995428617537,16.3589630126953,2.93683357033302,0,513.932105073301,0,0,1,11,0,0,0,0
Dominican Republic,269183.941,47507.5929768853,350.60498046875,7.70420386299554,178.733408034828,346.694194155492,0,0,0,85,25.9302310943603,31.7916030883789,0,1168.8113829243
Ecuador,1072759.757,153398.205570586,125.413566589355,5059.31940637793,1371.38619209624,0,8,4,14,110,6.79082345962524,2.64497685432434,1438.39770507813,11235.1313015552
Egypt,262257.998,42779.2639589823,3250.36645507812,15857.7218217566,0.355704120686081,2443.41318876751,0,7,2,0,0,0.638578593730927,973.68017578125,0
El Salvador,93839.079,1843.8523981842,0,29.350965694362,335.551684330067,0,0,0,0,0,0,0,0,0
Equatorial Guinea,308369.076,1863.97379537238,0,27.2027705010553,217.88763929188,0,0,0,0,8,0,0,0,16381.3593218339
Eritrea,79181.427,0,1580.53430175781,0,49.4007201494755,19.1220284256089,0,0,0,3,0,24.4340896606445,8.51501083374023,0
Estonia,35966.94,8513.9119554582,0,8.00210693186348,0,0,303,47,0,0,0,0,0,0
Falkland Islands,550879.969,25023.9367500385,0,0,0,0,41,0,0,53,0,432.895446777344,0,0
Faroe Is.,267806.651,133.455159253561,0,0,0,0,648,0,0,788,0,620.206237792969,2281.80078125,0
Fiji,1282215.223,12345.2643496861,3366.67138671875,26.0577064300951,1096.2303609726,1736.28958847531,0,1,13,5,69.0029983520508,0,6531.849609375,46346.9442802234
Finland,84138.56,9862.36317774593,0,175.229670841687,0,0,75,0,0,0,0,0,0,0
France,344905.26,157706.665465528,0,4730.11450098174,0,1038.0155022942,2495,0,0,524,0,0,0,0
French Guiana,134799.577,2575.39118045514,0,347.097734013294,876.679635675822,0,0,0,0,13,0,0,0,0
French Polynesia,4773385.251,0.030310961537133,2999.87768554687,0.516637747254898,0.011706930166783,785.196746654109,0,0,2,0,0,0,0,244243.710588849
French Southern & Antarctic Lands,2274327.195,1702285.28368814,269.472015380859,0,0,0,40,0,3,26,0,0,5296.15869140625,26391.0492690266
Gabon,193478.898,51903.2099051324,0,576.865612013501,1578.66495206877,0,0,0,0,0,0,0,0,0
Georgia,22805.783,442.894536357196,0,20.0322013461137,0,0,0,2,0,0,0,0,0,0
Germany,57033.233,28599.6202016538,0,1108.63870460716,0,316.088478944332,590,0,0,0,0,0,0,0
Ghana,224908.394,0,0,721.134702833961,113.424519324837,2714.60416622161,0,2,0,14,0,0,0,439.264859868256
Gibraltar,425.642,176.757739647986,0,0,0,0,0,0,0,0,0,0,0,0
Greece,496213.71,29505.5994728701,0,17114.4991774793,0,412.553606901872,0,83,9,27,52.5146942138672,91.5550537109375,0,2359.97697686995
Greenland,2282121.586,1000425.92395275,0,9.93890177897857,0,0,530,5,4,22,47.5614395141602,4097.14697265625,5617.8974609375,2186.47922992018
Grenada,26146.354,26.0835922868748,50.7531051635742,0,2.10702381185189,10.2293204570175,0,0,1,34,0,259.765686035156,0,9.63785149699099
Guadeloupe,90549.726,91669.687964386,113.331771850586,0.826377931292799,29.9700716707581,758.386492734893,0,0,1,22,18.4299163818359,0,0,0
Guatemala,117795.422,5526.70460343893,0,5.7268601382716,347.309498132545,0,0,0,0,1,0,0,0,0
Guernsey,8694.839,1499.85893886175,0,0,0,0,786,0,0,0,0,0,0,0
Guinea,109165.82,1716.17638600697,0,369.996051986712,2380.52725134698,12819.8250743465,0,0,0,2,0,0,0,2501.22731027817
Guinea-Bissau,106538.511,13392.5782143279,0,867.257921260972,2715.27086754314,15302.2247763432,0,0,0,1,0,0,0,1115.88947955732
Guyana,136161.126,1229.78394089494,0,792.384028373082,221.486516274569,0,0,0,0,52,0,0,0,0
Haiti,123495.741,1473.65590327083,327.9052734375,1.97466356784212,146.725761340856,748.63044509895,0,0,0,24,12.5321130752563,242.468521118164,0,0
Heard I. & McDonald Is.,416932.83,70932.2336357217,0,0,0,0,1,0,0,2,0,0,0,2279.54236282922
Honduras,219085.549,18887.2633269797,667.077026367187,7.79015745229695,663.048401224668,2739.86100016697,0,0,0,23,17.4152565002441,0,0,2688.22224884298
Iceland,755755.044,171.6852199671,0,335.237299258527,0,0,1391,3,8,269,0,121.955696105957,0,0
India,2290112.344,5532.32326111406,2035.40539550781,67295.7797178302,3887.89278733416,4229.41301279256,0,7,2,29,0,0,0,17787.2723032004
Indonesia,5924431.813,230724.403046033,19868.4296875,9606.90825357336,26894.1500976362,17597.0820466666,2,0,10,309,2268.04638671875,387.539093017578,1725.68408203125,64804.5402829577
Iran,221244.126,3656.77286032373,118.028587341309,1889.38809331401,120.507787695132,2704.39228561367,0,6,0,0,0,0,0,0
Iraq,618.274,0,0,465.982432797081,0,74.786625997647,0,0,0,0,0,0,0,0
