country,habitat,eez_area,mpa,habitat_area,protected
Albania,Cold_Coral,11285.929,306.374929939614,5,0
Albania,Coral_Reefs,11285.929,306.374929939614,0,0
Albania,Estuaries,11285.929,306.374929939614,103.561558952544,0.490189708183145
Albania,Hydrothermal_vents,11285.929,306.374929939614,0,0
Albania,Kelp,11285.929,306.374929939614,0,0
Albania,Mangroves,11285.929,306.374929939614,0,0
Albania,Ridges,11285.929,306.374929939614,0,0
Albania,Saltmarsh,11285.929,306.374929939614,8,0
Albania,Seagrasses,11285.929,306.374929939614,44.0192524655547,1.8398374982692
Albania,Seamounts_Guyots,11285.929,306.374929939614,0,0
Albania,Shelf_valley_canyons,11285.929,306.374929939614,398.074063604609,0
Albania,Trenches,11285.929,306.374929939614,0,0
Algeria,Cold_Coral,128993.717,30.3626338261922,3,0
Algeria,Coral_Reefs,128993.717,30.3626338261922,0,0
Algeria,Estuaries,128993.717,30.3626338261922,451.092990956497,0
Algeria,Hydrothermal_vents,128993.717,30.3626338261922,0,0
Algeria,Kelp,128993.717,30.3626338261922,15,0
Algeria,Mangroves,128993.717,30.3626338261922,0,0
Algeria,Ridges,128993.717,30.3626338261922,241.86051940918,0
Algeria,Saltmarsh,128993.717,30.3626338261922,2,0
Algeria,Seagrasses,128993.717,30.3626338261922,40.4831994442909,0
Algeria,Seamounts_Guyots,128993.717,30.3626338261922,0,0
Algeria,Shelf_valley_canyons,128993.717,30.3626338261922,6117.37311374708,0.05941091307188
Algeria,Trenches,128993.717,30.3626338261922,0,0
American Samoa,Cold_Coral,404416.001,35173.4743702347,2,0
American Samoa,Coral_Reefs,404416.001,35173.4743702347,45.1590919494629,12.3792062777754
American Samoa,Estuaries,404416.001,35173.4743702347,0.757215176501879,0.015623206251615
American Samoa,Hydrothermal_vents,404416.001,35173.4743702347,1,1
American Samoa,Kelp,404416.001,35173.4743702347,0,0
American Samoa,Mangroves,404416.001,35173.4743702347,0,0
American Samoa,Ridges,404416.001,35173.4743702347,10702.869140625,940.449353793668
American Samoa,Saltmarsh,404416.001,35173.4743702347,2,0
American Samoa,Seagrasses,404416.001,35173.4743702347,461.078757699529,17.5020039063629
American Samoa,Seamounts_Guyots,404416.001,35173.4743702347,21711.5175486656,2439.34926171223
American Samoa,Shelf_valley_canyons,404416.001,35173.4743702347,286.972011948042,6.48132796648279
American Samoa,Trenches,404416.001,35173.4743702347,0,0
Angola,Cold_Coral,489942.027,0,7,0
Angola,Coral_Reefs,489942.027,0,0,0
Angola,Estuaries,489942.027,0,1175.53037223229,0
Angola,Hydrothermal_vents,489942.027,0,0,0
Angola,Kelp,489942.027,0,0,0
Angola,Mangroves,489942.027,0,293.779046339649,0
Angola,Ridges,489942.027,0,5343.81884765625,0
Angola,Saltmarsh,489942.027,0,4,0
Angola,Seagrasses,489942.027,0,592.857756696301,0
Angola,Seamounts_Guyots,489942.027,0,6216.18421283716,0
Angola,Shelf_valley_canyons,489942.027,0,16483.8376025414,0
Angola,Trenches,489942.027,0,0,0
Anguilla,Cold_Coral,92168.545,33.180360696244,10,0
Anguilla,Coral_Reefs,92168.545,33.180360696244,24.3337898254395,4.70551580129327
Anguilla,Estuaries,92168.545,33.180360696244,0,0
Anguilla,Hydrothermal_vents,92168.545,33.180360696244,0,0
Anguilla,Kelp,92168.545,33.180360696244,0,0
Anguilla,Mangroves,92168.545,33.180360696244,0.045283753588003,0
