Type,Class,EX,CR,EN,VU,NT,LC,DD,Totals,Segments
Vertebrates,Actinopterygii,0,0.4,0.9,2.7,1.3,78.5,16.1,8200,11.55
Vertebrates,Chondrichthyes,0,2.4,4.5,11.2,10.6,31.2,40.1,1085,37.65
Vertebrates,Mammalia,2.9,1.5,13.1,12.4,6.6,44.5,3.1,137,30.95
Vertebrates,Reptilia,0.9,3.5,6.9,10,9.8,65.8,3.1,95,22.35
Vertebrates,Aves,1,3.2,7.3,9.9,10.4,67.6,0.6,868,21.2
Overall,Vertebrates,1,2.3,6.8,9.5,8,59.4,13,10385,27.6
Invertebrates,Anthozoa,0,0.7,3,23.3,20.2,33.8,19.1,868,36.55
Invertebrates,Hydrozoa,0,6.3,12.5,12.5,6.3,50,12.5,16,37.55
Invertebrates,Holothuroidea,0,0,1.9,2.4,0,29.9,65.8,371,37.2
Invertebrates,Bivalvia,0,0,0,7.5,0,54.7,37.7,53,26.35
Invertebrates,Cephalopoda,0,0.1,0.3,0.3,0.1,44.3,54.8,686,28.1
Invertebrates,Gastropoda,0.5,0.7,1.7,3.6,3.1,68.2,22.1,831,17.55
Invertebrates,Malacostraca,0,0.8,0.4,0.4,0.8,63.7,34,256,18.6
Overall,Invertebrates,0.1,0.5,1.7,8.1,6.7,47.9,35,3081,27.9
