country,eez_area,mpa,pressures_spp,gdp_tot,biodiversity_points
Albania,11285.929,306.374929939614,44.4814285577641,6407556895.18024,
Algeria,128993.717,30.3626338261922,48.8314285714286,65313329932.4371,194
American Samoa,404416.001,35173.4743702347,23.9328571428571,583687500,184.786415815989
Angola,489942.027,0,51.1800786168401,40609841870.347,230.415335935618
Anguilla,92168.545,33.180360696244,27.3371428571429,,156.444444444444
Antarctica,10308958.6,1868400.12246311,,,52.5167331471258
Antigua & Barbuda,107841.141,279.522827416755,30.2457142857143,738130570.970018,139.064466456075
Argentina,1084826.787,74371.4787496522,37.529999998271,199355081852.393,99.7876474843835
Aruba,25185.858,35.642597608749,27.0242857142857,1814801013.06785,196
Australia,7410398.319,3096750.85434078,18.0987153949939,435124761350.531,252.748286456634
Bahrain,7645.213,0,51.0614285714286,13728970190.3645,
Bangladesh,85518.919,9200.20716465512,58.2828569266485,53018451098.0482,211.374619672455
Barbados,183900.096,297.545081829833,29.0128600051166,2577638800.29829,174.252042241251
Belgium,3455.399,1340.23151732336,38.062857133783,214768532507.706,
Belize,36050.775,6555.27687670663,40.6214285715542,605616685.334804,384.666666666667
Benin,30038.192,0,46.1171428571429,2863395700.85106,196.398250385089
Bermuda,450396.674,0.726793946606337,27.5857142857143,1999886340.46414,120.904455024167
"Bonaire, Sint-Eustasius, Saba",22631.53,2720.09013816921,28.3200755753138,,464.916599982942
Bosnia & Herzegovina,17.63,19.850170088488,62.0485714285714,11704784742.0304,
Bouvet I.,441169.427,0,8.80285714285714,,42.4387963007268
Brazil,3655546.599,1061014.47690904,34.4242857142715,679129480649.568,172.10833640092
British Indian Ocean Territory,638544.215,636962.344341028,14.3442857142857,,166.888765285694
Brunei,25603.758,121.031090952003,42.3328571436652,5879218978.28798,436.339995942508
Bulgaria,35236.061,5084.57901247266,36.3528571428571,29294010009.2987,156.5
Cambodia,48005.063,861.881580673837,56.0785714335326,6191615842.36262,511.75
Cameroon,14422.802,2625.4045817221,60.199999998391,11965474661.7618,439
Canada,5749925.137,370672.775376444,15.7542857169424,652536134554.199,116.538332097073
Cape Verde,796629.907,17.6489430826274,29.9557142857143,,121.504008738626
Cayman Is.,119175.362,109.336187822553,25.2857142857143,3371448621.73469,293.25
Chile,3660327.986,1093763.17540808,22.7328690603308,77966153900.3245,56.0944467169942
China,882063.691,8084.16385812469,56.8000000004348,2161737252385.75,364.406578060593
Christmas I.,328017.493,7.86770021926152,17.88,,149.537422321021
Clipperton Island,431283.632,1811.38389786247,19.2228571428571,,72.9616786211635
Cocos Is.,467246.137,26.0191193734997,17.5914285714286,,100.449811052746
Colombia,727826.195,99713.9383380435,34.6057378223675,98661073131.5887,274.925701598727
Comoros,164599.449,3866.71777157079,47.8542857142857,570710048.221419,486.313918229421
Congo,39572.29,9344.69892952722,48.31,3724434870.96661,308.07714437956
"Congo, DRC",13797.144,746.796090478251,52.6423714226441,12731078158.0252,94.8976820629073
Cook Is.,1960139.894,1957594.2982511,30.5814285714286,,142.967997719919
Costa Rica,572260.305,6686.585735431,26.5257142857143,14274672909.1145,169.264815479687
Cote d'Ivoire,174572.996,253.691327530321,47.2742857141026,12071374598.4317,169.060454054871
Croatia,56238.809,8052.97163809078,40.5142857142857,44490861161.1933,384.571178799412
