Habitat,%_wilderness,%_protected
Cold Corals,5.04346329288235,28.9783974524486
Coral Reefs,1.95830960780976,40.6631014787116
Estuaries,4.26643812469745,20.8844939551055
Hydrothermal Vents,7.5177304964539,14.7517730496454
Kelp,0.897592819257446,40.0108799129607
Mangroves,0.083568835841462,34.8488424759341
Ridges,9.7425856195087,12.5394835933297
Saltmarsh,1.08225108225108,41.991341991342
Seagrasses,0.540394264144274,25.5708380391171
Seamounts and Guyots,5.91386243625094,25.67217607768
Shelf and Canyons,26.8793065296256,11.2370824678765
Trenches,1.60125944056848,21.0234425095057
